"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"NXPETHCG","journalArticle","2020","Avinadav, Tal; Chernonog, Tatyana; Khmelnitsky, Eugene","Revenue-sharing between developers of virtual products and platform distributors","European Journal of Operational Research","","03772217","10.1016/j.ejor.2020.08.036","https://linkinghub.elsevier.com/retrieve/pii/S0377221720307499","","2020-08","2021-01-04 07:49:16","2021-01-04 07:49:46","2021-01-04 07:49:16","S0377221720307499","","","","","European Journal of Operational Research","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","germ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G98P8ET8","conferencePaper","2017","Alkoby, S.; Sarne, D.; Milchtaich, I.","Strategic signaling and free information disclosure in auctions","","","","","","","2017","2021-01-04 08:00:11","2021-01-04 08:00:11","","319-327","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31st AAAI Conference on Artificial Intelligence, AAAI 2017","","","","","","","","","","","","","","",""
"GAGAFVDG","journalArticle","2018","Apple","App Store kicks off 2018 with record-breaking holiday season","Apple Press Info","","","","","","2018","2021-01-04 08:00:11","2021-01-04 08:00:11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MPY9374W","journalArticle","2012","Aust, G.; Buscher, U.","Vertical cooperative advertising and pricing decisions in a manufacturer-retailer supply chain: A game-theoretic approach","European Journal of Operational Research","","","10.1016/j.ejor.2012.06.042","","","2012","2021-01-04 08:00:11","2021-01-04 08:00:11","","473-482","","2","223","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97Q56J8X","journalArticle","2014","Avinadav, T.","Continuous accounting of inventory costs with brownian-motion and poisson demand processes","Annals of Operations Research","","","10.1007/s10479-014-1757-5","","","2014","2021-01-04 08:00:11","2021-01-04 08:00:11","","85-102","","1","229","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CFH8BMAS","journalArticle","2019","Avinadav, T.; Chernonog, T.; Ben-Zvi, T.","The effect of information superiority on a supply chain of virtual products","International Journal of Production Economics","","","10.1016/j.ijpe.2019.07.004","","","2019","2021-01-04 08:00:12","2021-01-04 08:00:12","","384-397","","","216","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FNTR3YJR","journalArticle","2020","Avinadav, T.; Chernonog, T.; Fruchter, G.E.; Prasad, A.","Contract design when quality is co-created in a supply chain","European Journal of Operational Research","","","10.1016/j.ejor.2020.03.070","","","2020","2021-01-04 08:00:12","2021-01-04 08:00:12","","908-918","","3","286","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8TM9C3RQ","journalArticle","2014","Avinadav, T.; Chernonog, T.; Perlman, Y.","Analysis of protection and pricing strategies for digital products under uncertain demand","International Journal of Production Economics","","","10.1016/j.ijpe.2014.07.021","","","2014","2021-01-04 08:00:12","2021-01-04 08:00:12","","54-64","","","158","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V487SWB5","journalArticle","2015","Avinadav, T.; Chernonog, T.; Perlman, Y.","The effect of risk sensitivity on a supply chain of mobile applications under a consignment contract with revenue sharing and quality investment","International Journal of Production Economics","","","10.1016/j.ijpe.2015.05.036","","","2015","2021-01-04 08:00:12","2021-01-04 08:00:12","","31-40","","","168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TSFGD77T","journalArticle","2015","Avinadav, T.; Chernonog, T.; Perlman, Y.","Consignment contract for mobile apps between a single retailer and competitive developers with different risk attitudes","European Journal of Operational Research","","","10.1016/j.ejor.2015.05.016","","","2015","2021-01-04 08:00:12","2021-01-04 13:22:22","","949-957","","3","246","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
