PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Naujoks, Tobias								Marketing functions and B2C e-marketplaces: An exploratory analysis								JOURNAL OF MARKETING CHANNELS				26	4			250	262		10.1080/1046669X.2020.1828687		OCT 2020		OCT 1 2020	2020										0	0	0	0	0	0	0			1046-669X	1540-7039		WOS:000576458400001		
J	Alt, Rainer				Alt, Rainer/U-6769-2018	Alt, Rainer/0000-0002-6395-0658			Electronic Markets on business model development								ELECTRONIC MARKETS				30	3			405	411		10.1007/s12525-020-00438-z		SEP 2020		SEP 2020	2020										1	0	0	0	0	0	1			1019-6781	1422-8890		WOS:000568488500002		
J	Alt, Rainer								Evolution and perspectives of electronic markets								ELECTRONIC MARKETS				30	1			1	13		10.1007/s12525-020-00413-8		APR 2020		MAR 2020	2020										4	0	0	0	0	0	4			1019-6781	1422-8890		WOS:000522924700001		
J	Collignon, Stephane; Cook, Deborah F.; Li, Yuhong					Collignon, Stephane/0000-0002-7037-2761			Motor carrier spot market: trust-building in public e-marketplaces								INTERNATIONAL JOURNAL OF PHYSICAL DISTRIBUTION & LOGISTICS MANAGEMENT				50	2			191	214		10.1108/IJPDLM-05-2019-0134		MAR 2020		MAR 2 2020	2020										0	0	0	0	0	0	0			0960-0035	1758-664X		WOS:000522463400001		
J	Mou, Jian; Cui, Yi; Kurcz, Kerry								BIBLIOMETRIC AND VISUALIZED ANALYSIS OF RESEARCH ON MAJOR E-COMMERCE JOURNALS USING CITESPACE								JOURNAL OF ELECTRONIC COMMERCE RESEARCH				20	4			219	237						NOV 2019	2019										3	0	0	0	1	0	3			1526-6133	1938-9027		WOS:000496804900002		
J	Zambujal-Oliveira, J.					Zambujal-Oliveira, Joao/0000-0002-9699-3750			Supply Chain Innovation Research: A Conceptual Approach of Information Management with Game Theory								GROUP DECISION AND NEGOTIATION											10.1007/s10726-019-09640-7		OCT 2019			2019										0	0	0	0	0	0	0			0926-2644	1572-9907		WOS:000492929900001		
J	Zhang, Mengdi; Huang, George Q.; Xu, Su Xiu; Zhao, Zhiheng				/C-1880-2009	/0000-0002-2362-6001			Optimization based transportation service trading in B2B e-commerce logistics								JOURNAL OF INTELLIGENT MANUFACTURING				30	7	SI		2603	2619		10.1007/s10845-016-1287-x				OCT 2019	2019										6	0	1	0	0	0	6			0956-5515	1572-8145		WOS:000487969600003		
J	Zhou, Fuli; Lim, Ming K.; He, Yandong; Lin, Yun; Chen, Shan				He, Yandong/AAF-3349-2020; Lim, Ming K/D-1476-2017; Zhou, Fuli/H-6662-2019; Lin, Yun/AAY-8280-2020	He, Yandong/0000-0003-2354-2673; Lim, Ming K/0000-0003-0809-9431; Zhou, Fuli/0000-0002-4786-8451; 			End-of-life vehicle (ELV) recycling management: Improving performance using an ISM approach								JOURNAL OF CLEANER PRODUCTION				228				231	243		10.1016/j.jclepro.2019.04.182				AUG 10 2019	2019										18	0	0	0	1	0	18			0959-6526	1879-1786		WOS:000470947000022		
J	Lafkihi, Mariam; Pan, Shenle; Ballot, Eric				Pan, Shenle/D-6571-2018	Pan, Shenle/0000-0002-6568-3709			Freight transportation service procurement: A literature review and future research opportunities in omnichannel E-commerce								TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW				125				348	365		10.1016/j.tre.2019.03.021				MAY 2019	2019										15	0	0	0	0	0	15			1366-5545			WOS:000467517000017		
J	Deng, Hepu; Duan, Sophia Xiaoxia; Jie, Donghui; Fu, Jiangjing					Duan, Sophia/0000-0002-8235-0092			An Efficiency-Based Approach for Selecting Electronic Markets in Sustainable Electronic Business: A SME's Perspective								SUSTAINABILITY				11	7					1858	10.3390/su11071858				APR 1 2019	2019										4	0	0	0	0	0	4				2071-1050		WOS:000466551600035		
J	Pala, Mesut; Edum-Fotwe, Francis; Ruikar, Kirti; Doughty, Nathan; Peters, Chris				Ruikar, Kirti/T-3870-2019	Ruikar, Kirti/0000-0002-7292-5585			POST-IMPLEMENTATION ANALYSIS OF A B2B E-MARKETPLACE								JOURNAL OF INFORMATION TECHNOLOGY IN CONSTRUCTION				24				129	153						2019	2019										0	0	0	0	0	0	0			1874-4753			WOS:000466013800001		
J	Li, Lei; Chi, Ting; Hao, Tongtong; Yu, Tao				Li, Wang/M-1612-2019				Customer demand analysis of the electronic commerce supply chain using Big Data								ANNALS OF OPERATIONS RESEARCH				268	1-2	SI		113	128		10.1007/s10479-016-2342-x				SEP 2018	2018										15	1	0	0	0	2	17			0254-5330	1572-9338		WOS:000440286100007		
J	Wan, Nana; Chen, Xu								Multi-period dual-sourcing replenishment problem with option contracts and a spot market								INDUSTRIAL MANAGEMENT & DATA SYSTEMS				118	4			782	805		10.1108/IMDS-07-2017-0291				2018	2018										5	1	0	0	0	0	6			0263-5577	1758-5783		WOS:000432263100008		
J	Cha, Kyung-Jin; Kim, Yang Sok								Critical success factors for mutual collaboration with suppliers in IT outsourcing industry: a case study of a top IT outsourcing company in Korea								ENTERPRISE INFORMATION SYSTEMS				12	1	SI		76	95		10.1080/17517575.2016.1196734				2018	2018										4	0	0	0	0	0	4			1751-7575	1751-7583		WOS:000428293400006		
J	Carugati, Andrea; Fernandez, Walter; Mola, Lapo; Rossignoli, Cecilia					Carugati, Andrea/0000-0003-4611-3513; Fernandez, Walter/0000-0002-5249-9515			My choice, your problem? Mandating IT use in large organisational networks								INFORMATION SYSTEMS JOURNAL				28	1			6	47		10.1111/isj.12120				JAN 2018	2018										7	0	0	0	0	1	8			1350-1917	1365-2575		WOS:000417878900002		
J	Yang, Yu-Chen; Cheng, Hsing Kenneth; Ding, Chao; Li, Shengli					/0000-0001-7101-140X			To join or not to join group purchasing organization: A vendor's decision								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				258	2			581	589		10.1016/j.ejor.2016.08.069				APR 16 2017	2017										16	0	0	0	0	0	16			0377-2217	1872-6860		WOS:000392789400016		
J	Verrollot, Jordan; Tolonen, Arto; Harkonen, Janne; Haapasalo, Harri				Harkonen, Janne/I-2381-2013	Harkonen, Janne/0000-0003-1058-3898; Haapasalo, Harri/0000-0001-5413-5638			Supply Capability Creation Process: Key Milestone Criteria and Activities								JOURNAL OF INDUSTRIAL ENGINEERING AND MANAGEMENT-JIEM				10	3			495	521		10.3926/jiem.2375				2017	2017										1	0	0	0	0	0	1			2013-8423	2013-0953		WOS:000417424200005		
J	Oliveira, Fabiana Lucena; Oliveira Junior, Aristides da Rocha; Bessa Rebelo, Luiza M.								Adapting transport modes to supply chains classified by the uncertainty supply chain model: A case study at Manaus Industrial Pole								INTERNATIONAL JOURNAL OF PRODUCTION MANAGEMENT AND ENGINEERING				5	1			39	43		10.4995/ijpme.2017.5775				2017	2017										1	0	0	0	0	0	1			2340-5317	2340-4876		WOS:000393976500005		
J	Movahedipour, Mahmood; Yang, Mengke; Zeng, Jianqiu; Wu, Xiankang; Salam, Shafaq					yang, mengke/0000-0002-4671-4848			Optimization in Supply Chain Management, the Current State and Future Directions - A Systematic Review and Bibliometric Analysis								JOURNAL OF INDUSTRIAL ENGINEERING AND MANAGEMENT-JIEM				9	4			933	963		10.3926/jiem.2035				2016	2016										5	0	0	0	0	0	5			2013-8423	2013-0953		WOS:000398469400003		
B	Pignatti, Erika; van Sprundel, Gert-jan						Canavari, M; Fritz, M; Schiefer, G		An Analysis of the Role of E-marketplaces in Food Networks								FOOD SUPPLY NETWORKS: TRUST AND E-BUSINESS								120	141			10.1079/9781845936396.0000			2016	2016										0	0	0	0	0	0	0					978-1-84593-638-9; 978-1-84593-639-6	WOS:000387289600007		
B	Canavari, Maurizio; Novak, Barbara M.; Fritz, Melanie; Deiters, Jivka; Schiefer, Gerhard				Canavari, Maurizio/A-7247-2008	Canavari, Maurizio/0000-0003-0573-7880	Canavari, M; Fritz, M; Schiefer, G		Trust and E-business in Food Supply Networks: Summary and Conclusions								FOOD SUPPLY NETWORKS: TRUST AND E-BUSINESS								177	187			10.1079/9781845936396.0000			2016	2016										0	0	0	0	0	0	0					978-1-84593-638-9; 978-1-84593-639-6	WOS:000387289600010		
J	Ghazawneh, Ahmad; Henfridsson, Ola								A paradigmatic analysis of digital application marketplaces								JOURNAL OF INFORMATION TECHNOLOGY				30	3	SI		198	208		10.1057/jit.2015.16				SEP 2015	2015										24	1	0	0	0	0	25			0268-3962	1466-4437		WOS:000360313200002		
J	Shaikh, Aijaz A.; Karjaluoto, Heikki				Karjaluoto, Heikki/M-4488-2014	Karjaluoto, Heikki/0000-0002-5696-7355; Shaikh, Dr. Aijaz A./0000-0001-5389-4384			Making the most of information technology & systems usage: A literature review, framework and future research agenda								COMPUTERS IN HUMAN BEHAVIOR				49				541	566		10.1016/j.chb.2015.03.059				AUG 2015	2015										57	0	0	0	1	0	57			0747-5632	1873-7692		WOS:000355351800060		
J	Crespo, Pedro; Santos, Vítor					Santos, Vitor/0000-0002-4223-7079			Construção de Sistemas Integrados de Gestão para Micro e Pequenas Empresas	Construction of Integrated Business Management Systems for Micro and Small Enterprises							RISTI - Revista Ibérica de Sistemas e Tecnologias de Informação				0	15			35	49		10.17013/risti.15.35-49				2015-06	2015										0	0	0	0	0	1	1			1646-9895			SCIELO:S1646-98952015000200004		
S	Rossignoli, Cecilia; Ricciardi, Francesca	Rossignoli, C; Ricciardi, F							Emerging Business Models in B2B Research: Virtual Organization and e-Intermediaries								INTER-ORGANIZATIONAL RELATIONSHIPS: TOWARDS A DYNAMIC MODEL FOR UNDERSTANDING BUSINESS NETWORK PERFORMANCE		Contributions to Management Science						77	115		10.1007/978-3-319-11221-3_5	10.1007/978-3-319-11221-3			2015	2015										2	0	0	0	0	0	2			1431-1941	2197-716X	978-3-319-11221-3; 978-3-319-11220-6	WOS:000357592800005		
J	Harris, Irina; Wang, Yingli; Wang, Haiyang					Wang, Yingli/0000-0001-5630-9558			ICT in multimodal transport and technological trends: Unleashing potential for the future								INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS				159		SI		88	103		10.1016/j.ijpe.2014.09.005				JAN 2015	2015										91	0	0	0	1	2	93			0925-5273	1873-7579		WOS:000348890100009		
J	Eyers, Daniel R.; Potter, Andrew T.				; Eyers, Daniel/A-5428-2009	Potter, Andrew/0000-0002-3157-9735; Eyers, Daniel/0000-0001-5499-0116			E-commerce channels for additive manufacturing: an exploratory study								JOURNAL OF MANUFACTURING TECHNOLOGY MANAGEMENT				26	3			390	411		10.1108/JMTM-08-2013-0102				2015	2015										31	0	0	0	0	0	31			1741-038X	1758-7786		WOS:000374159300005		
B	Malindretos, George; Vlachos, Ilias P.				vlachos, ilias/D-1218-2010		Vlachos, IP; Malindretos, G		Critical Review on Sustainability and Supply Chain Challenges								MARKETS, BUSINESS AND SUSTAINABILITY								3	28			10.2174/97816810802531150101			2015	2015										0	0	0	0	0	0	0					978-1-68108-025-3; 978-1-68108-026-0	WOS:000460425000004		
J	Tang, Xinlin; Rai, Arun					Rai, Arun/0000-0002-3655-7543			How should process capabilities be combined to leverage supplier relationships competitively?								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				239	1			119	129		10.1016/j.ejor.2014.04.017				NOV 16 2014	2014										18	0	0	0	0	1	18			0377-2217	1872-6860		WOS:000339148900011		
J	Jean, Ruey Jer Bryan					Jean, Ruey-Jer" Bryan"/0000-0003-2461-7454			What makes export manufacturers pursue functional upgrading in an emerging market? A study of Chinese technology new ventures								INTERNATIONAL BUSINESS REVIEW				23	4			741	749		10.1016/j.ibusrev.2014.03.009				AUG 2014	2014										9	0	0	0	0	0	9			0969-5931	1873-6149		WOS:000338813900007		
