PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Wei, Jie; Lu, Jinghui; Chen, Weiyu; Xu, Zeling					zeling, xu/0000-0002-0231-4092			Distribution Contract Analysis on e-Platform by Considering Channel Role and Good Complementarity								JOURNAL OF THEORETICAL AND APPLIED ELECTRONIC COMMERCE RESEARCH				16	3			445	465		10.3390/jtaer16030028				JUN 2021	2021										0	0	0	0	0	0	0			0718-1876			WOS:000601495900001		
J	Bender, Mark; Gal-Or, Esther; Geylani, Tansev								Attracting artists to music streaming platforms								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				290	3			1083	1097		10.1016/j.ejor.2020.08.049				MAY 1 2021	2021										0	0	0	0	0	0	0			0377-2217	1872-6860		WOS:000605460600019		
J	Qin, Xuelian; Liu, Zhixue; Tian, Lin								The optimal combination between selling mode and logistics service strategy in an e-commerce market								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				289	2			639	651		10.1016/j.ejor.2020.07.029				MAR 1 2021	2021										0	0	0	0	0	0	0			0377-2217	1872-6860		WOS:000588034600017		
J	Bijmolt, Tammo H. A.; Broekhuis, Manda; de Leeuw, Sander; Hirche, Christian; Rooderkerk, Robert P.; Sousa, Rui; Zhu, Stuart X.				de Leeuw, Sander/F-3739-2012; Sousa, Rui/M-4605-2013	de Leeuw, Sander/0000-0003-3056-8775; Sousa, Rui/0000-0002-0049-1896			Challenges at the marketing-operations interface in omni-channel retail environments								JOURNAL OF BUSINESS RESEARCH				122				864	874		10.1016/j.jbusres.2019.11.034				JAN 2021	2021										3	0	0	0	0	0	3			0148-2963	1873-7978		WOS:000590682800029		
J	Wei, Jie; Wang, Yue; Lu, Jinghui								Information sharing and sales patterns choice in a supply chain with product's greening improvement								JOURNAL OF CLEANER PRODUCTION				278						123704	10.1016/j.jclepro.2020.123704				JAN 1 2021	2021										0	0	0	0	0	0	0			0959-6526	1879-1786		WOS:000592389800004		
J	Ma, Junhai; Li, Yaping; Wang, Zongxian								Analysis of Pricing and Service Effort in Dual-Channel Supply Chains with Showrooming Effect								INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS				30	16					2050241	10.1142/S0218127420502417				DEC 30 2020	2020										0	0	0	0	0	0	0			0218-1274	1793-6551		WOS:000605662900008		
J	Chen, Jian; Huang, He; Liu, Liming; Xu, Hongyan								Price Delegation or Not? The Effect of Heterogeneous Sales Agents								PRODUCTION AND OPERATIONS MANAGEMENT											10.1111/poms.13325		DEC 2020			2020										0	0	0	0	0	0	0			1059-1478	1937-5956		WOS:000603459600001		
J	Yenipazarli, Arda								The marketplace dilemma: Selling to the marketplace vs. selling on the marketplace								NAVAL RESEARCH LOGISTICS											10.1002/nav.21964		DEC 2020			2020										0	0	0	0	0	0	0			0894-069X	1520-6750		WOS:000597759300001		
J	Xu, Qingyun; Shao, Zhen; He, Yi								Optimal delivery strategies for packing box recycling in online platforms								JOURNAL OF CLEANER PRODUCTION				276						124273	10.1016/j.jclepro.2020.124273				DEC 10 2020	2020										1	0	0	0	0	0	1			0959-6526	1879-1786		WOS:000579500800219		
J	Chone, Philippe; Linnemer, Laurent								Linear demand systems for differentiated goods: Overview and user's guide								INTERNATIONAL JOURNAL OF INDUSTRIAL ORGANIZATION				73						102663	10.1016/j.ijindorg.2020.102663				DEC 2020	2020						14th Annual Competition and Regulation European Summer School and Conference (CRESSE)14th Annual Competition and Regulation European Summer School and Conference (CRESSE)	JUL, 2019JUL, 2019		Rhodes, GREECERhodes, GREECE	0	0	0	0	0	0	0			0167-7187	1873-7986		WOS:000596224600015		
J	Dan, Bin; Zhang, Haiyue; Zhang, Xumei; Guan, Zili; Zhang, Shuguang								Should an online manufacturer partner with a competing or noncompeting retailer for physical showrooms?								INTERNATIONAL TRANSACTIONS IN OPERATIONAL RESEARCH											10.1111/itor.12910		NOV 2020			2020										0	0	0	0	0	0	0			0969-6016	1475-3995		WOS:000593400000001		
