PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Avinadav, Tal; Chernonog, Tatyana; Khmelnitsky, Eugene								Revenue-sharing between developers of virtual products and platform distributors								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				290	3			927	945		10.1016/j.ejor.2020.08.036				MAY 1 2021	2021										0	0	0	0	0	0	0			0377-2217	1872-6860		WOS:000605460600009		
J	Kang, Kai; Gao, Siying; Gao, Tie; Zhang, Jing								Pricing and Financing Strategies for a Green Supply Chain With a Risk-Averse Supplier								IEEE ACCESS				9				9250	9261		10.1109/ACCESS.2021.3050130				2021	2021										0	0	0	0	0	0	0			2169-3536			WOS:000608607800001		
J	Liu, Weihua; Long, Shangsong; Xie, Dong; Liang, Yanjie; Wang, Jinkun								How to govern the big data discriminatory pricing behavior in the platform service supply chain?An examination with a three-party evolutionary game model								INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS				231						107910	10.1016/j.ijpe.2020.107910				JAN 2021	2021										0	0	0	0	0	0	0			0925-5273	1873-7579		WOS:000598125400015		
J	Moon, Ilkyeong; Jeong, Yoon Jea; Saha, Subrata					MOON, ILKYEONG/0000-0002-7072-1351; Jeong, Yoonjea/0000-0003-1842-8083; saha, subrata/0000-0002-5118-1548			Investment and coordination decisions in a supply chain of fresh agricultural products								OPERATIONAL RESEARCH				20	4			2307	2331		10.1007/s12351-018-0411-4				DEC 2020	2020										3	0	0	0	0	0	3			1109-2858	1866-1505		WOS:000577996400017		
J	Fan, Xiaoqing; Zhang, Jianxiong; Zhu, Guowei					Zhang, Jianxiong/0000-0002-3814-7257			Effects of consumers' uncertain valuation-for-quality in a distribution channel								ANNALS OF OPERATIONS RESEARCH											10.1007/s10479-020-03847-7		NOV 2020			2020										0	0	0	0	0	0	0			0254-5330	1572-9338		WOS:000588267700001		
J	Avinadav, Tal; Chernonog, Tatyana; Fruchter, Gila E.; Prasad, Ashutosh					Chernonog, Tatyana/0000-0002-8138-5007; Avinadav, Tal/0000-0002-7519-2946			Contract design when quality is co-created in a supply chain								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				286	3			908	918		10.1016/j.ejor.2020.03.070				NOV 1 2020	2020										2	0	0	0	0	0	2			0377-2217	1872-6860		WOS:000538576200009		
J	Chernonog, Tatyana					Chernonog, Tatyana/0000-0002-8138-5007			Strategic information sharing in online retailing under a consignment contract with revenue sharing								ANNALS OF OPERATIONS RESEARCH											10.1007/s10479-020-03807-1		OCT 2020			2020										0	0	0	0	0	0	0			0254-5330	1572-9338		WOS:000575793800001		
J	Bart, Nelly; Chernonog, Tatyana; Avinadav, Tal					Chernonog, Tatyana/0000-0002-8138-5007; Avinadav, Tal/0000-0002-7519-2946			Revenue-sharing contracts in supply chains: a comprehensive literature review								INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH											10.1080/00207543.2020.1821929		SEP 2020			2020										2	0	0	0	0	0	2			0020-7543	1366-588X		WOS:000573144400001		
J	Chen, Bin; Xie, Wenying; Huang, Fuyou; Li, Xinyang								Energy-saving and pricing decisions in a sustainable supply chain considering behavioral concerns								PLOS ONE				15	8					e0236354	10.1371/journal.pone.0236354				AUG 4 2020	2020										0	0	0	0	0	0	0			1932-6203			WOS:000560009200016	32750058	
J	Hu, Benyong; Meng, Chao								The effect of risk tolerance in mobile game supply chain pricing and effort decisions								JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY											10.1080/01605682.2020.1780964		JUL 2020			2020										0	0	0	0	0	0	0			0160-5682	1476-9360		WOS:000555214400001		
