PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Xu, Qingyun; Shao, Zhen; He, Yi								Optimal delivery strategies for packing box recycling in online platforms								JOURNAL OF CLEANER PRODUCTION				276						124273	10.1016/j.jclepro.2020.124273				DEC 10 2020	2020										1	0	0	0	0	0	1			0959-6526	1879-1786		WOS:000579500800219		
J	Dan, Bin; Zhang, Haiyue; Zhang, Xumei; Guan, Zili; Zhang, Shuguang								Should an online manufacturer partner with a competing or noncompeting retailer for physical showrooms?								INTERNATIONAL TRANSACTIONS IN OPERATIONAL RESEARCH											10.1111/itor.12910		NOV 2020			2020										0	0	0	0	0	0	0			0969-6016	1475-3995		WOS:000593400000001		
J	Cao, Kaiying; Xu, Yuqiu; Wang, Jia								Should firms provide online return service for remanufactured products?								JOURNAL OF CLEANER PRODUCTION				272						122641	10.1016/j.jclepro.2020.122641				NOV 1 2020	2020										2	0	0	0	0	0	2			0959-6526	1879-1786		WOS:000571823200001		
J	Zhang, Zichen; Luo, Xinggang; Liu, Chenghao; Zhao, Liqiang; Jing, Hao								Single stream or dual stream? A game-theoretic approach to the sustainable evolution in waste recycling systems								JOURNAL OF CLEANER PRODUCTION				269						121847	10.1016/j.jclepro.2020.121847				OCT 1 2020	2020										0	0	0	0	0	0	0			0959-6526	1879-1786		WOS:000561603100008		
J	Zhang, Linling; Long, Ruyin; Huang, Zheng; Li, Wenbo; Wei, Jia								Evolutionary game analysis on the implementation of subsidy policy for sustainable transportation development								JOURNAL OF CLEANER PRODUCTION				267						122159	10.1016/j.jclepro.2020.122159				SEP 10 2020	2020										1	0	0	0	1	0	1			0959-6526	1879-1786		WOS:000564548900017		
J	Tang, Fei; Ma, Zu-Jun; Dai, Ying; Choi, Tsan-Ming				; Choi, Tsan-Ming/P-6065-2014	Ma, Zujun/0000-0002-7120-9106; Choi, Tsan-Ming/0000-0003-3865-7043; Dai, Ying/0000-0002-0825-9020			Upstream or Downstream: Who Should Provide Trade-in Services in Dyadic Supply Chains?*								DECISION SCIENCES											10.1111/deci.12476		SEP 2020			2020										0	0	0	0	0	0	0			0011-7315	1540-5915		WOS:000565778400001		
J	Jia, Dongfeng; Li, Sijie								Optimal decisions and distribution channel choice of closed -loop supply chain when e -retailer offers online marketplace								JOURNAL OF CLEANER PRODUCTION				265						121767	10.1016/j.jclepro.2020.121767				AUG 20 2020	2020										4	0	0	0	0	0	4			0959-6526	1879-1786		WOS:000540487400020		
J	Yang, Zhaojun; Hu, Xu; Sun, Jun; Zhang, Yali					xu, hu/0000-0002-0004-4738			Flexible versus simple trade-in strategy for remanufacturing								JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY											10.1080/01605682.2020.1796536		AUG 2020			2020										1	0	0	0	1	0	1			0160-5682	1476-9360		WOS:000557610100001		
J	Tozanli, Ozden; Kongar, Elif; Gupta, Surendra M.					Kongar, Elif/0000-0002-2296-7883; Gupta, Surendra M./0000-0002-6194-2857			Evaluation of Waste Electronic Product Trade-in Strategies in Predictive Twin Disassembly Systems in the Era of Blockchain								SUSTAINABILITY				12	13					5416	10.3390/su12135416				JUL 2020	2020										4	0	0	0	0	0	4				2071-1050		WOS:000550217500001		
J	Chen, Pingping; Zhao, Ruiqing; Yan, Yingchen; Li, Xiang								Promotional pricing and online business model choice in the presence of retail competition								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				94						102085	10.1016/j.omega.2019.07.001				JUL 2020	2020										3	0	0	0	0	0	3			0305-0483	1873-5274		WOS:000528206400015		
