PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Lin, Yizhong; Leung, Janny M. Y.; Zhang, Lianmin; Gu, Jia-Wen								Single-item repairable inventory system with stochastic new and warranty demands								TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW				142						102035	10.1016/j.tre.2020.102035				OCT 2020	2020										0	0	0	0	0	0	0			1366-5545			WOS:000579041500006		
J	Borenich, Andrea; Dickbauer, Yanick; Reimann, Marc; Souza, Gilvan C.								Should a manufacturer sell refurbished returns on the secondary market to incentivize retailers to reduce consumer returns?								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				282	2			569	579		10.1016/j.ejor.2019.09.049				APR 16 2020	2020										3	0	0	0	0	0	3			0377-2217	1872-6860		WOS:000509789300014		
J	Gupta, Vivek; Gupta, Laxmi; Dhir, Sanjay					Dhir, Sanjay/0000-0001-6754-9602			Customer competency for improving firm decision-making performance in e-commerce								FORESIGHT				22	2			205	222		10.1108/FS-06-2019-0053		FEB 2020		FEB 7 2020	2020										1	0	0	0	0	0	1			1463-6689	1465-9832		WOS:000512199900001		
J	Muir, William A.; Griffis, Stanley E.; Whipple, Judith M.					Muir, William/0000-0002-0417-6017			A Simulation Model Of Multi-Echelon Retail Inventory With Cross-Channel Product Returns								JOURNAL OF BUSINESS LOGISTICS				40	4			322	338		10.1111/jbl.12209				DEC 2019	2019										2	0	0	0	0	0	2			0735-3766	2158-1592		WOS:000505281000004		
J	Ghafarimoghadam, Alireza; Ghayebloo, Sima; Pishvaee, Mir Saman				Pishvaee, Mir Saman/H-3450-2018	Pishvaee, Mir Saman/0000-0001-6389-6308			A fuzzy-budgeted robust optimization model for joint network design-pricing problem in a forward-reverse supply chain: the viewpoint of third-party logistics								COMPUTATIONAL & APPLIED MATHEMATICS				38	4					194	10.1007/s40314-019-0966-6				DEC 2019	2019										1	0	0	0	0	0	1			2238-3603	1807-0302		WOS:000490151400001		
J	Feng, Zhangwei; Xiao, Tiaojun; Yu, Yunlong; Robb, David J.								Quality disclosure strategy in a decentralized supply chain with consumer returns								INTERNATIONAL TRANSACTIONS IN OPERATIONAL RESEARCH				27	4	SI		2139	2156		10.1111/itor.12723		SEP 2019		JUL 2020	2020										2	1	0	0	0	0	3			0969-6016	1475-3995		WOS:000486713400001		
J	Li, Guo; Li, Lin; Sethi, Suresh P.; Guan, Xu				Sethi, Suresh P/C-4517-2012	Li, Lin/0000-0002-3849-4881; Li, Guo/0000-0002-7127-1102			Return strategy and pricing in a dual-channel supply chain								INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS				215		SI		153	164		10.1016/j.ijpe.2017.06.031				SEP 2019	2019										31	0	0	0	0	0	31			0925-5273	1873-7579		WOS:000474323100015		
J	Yan, Ruiliang; Pei, Zhi								Return policies and O2O coordination in the e-tailing age								JOURNAL OF RETAILING AND CONSUMER SERVICES				50				314	321		10.1016/j.jretconser.2018.07.006				SEP 2019	2019										7	0	0	0	0	0	7			0969-6989	1873-1384		WOS:000471928200035		
J	Sun, Jing; Wang, Jing; Wang, Tao; Zhang, Tao								Urbanization, economic growth, and environmental pollution Partial differential analysis based on the spatial Durbin model								MANAGEMENT OF ENVIRONMENTAL QUALITY				30	2			483	494		10.1108/MEQ-05-2018-0101				MAR 11 2019	2019										11	0	0	0	4	0	11			1477-7835	1758-6119		WOS:000461046700012		
J	Shi, Xiutian; Dong, Ciwei; Cheng, T. C. E.				Cheng, Edwin/D-5688-2015	Cheng, Edwin/0000-0001-5127-6419			Does the buy-online-and-pick-up-in-store strategy with pre-orders benefit a retailer with the consideration of returns?								INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS				206				134	145		10.1016/j.ijpe.2018.09.030				DEC 2018	2018										25	0	0	0	0	0	25			0925-5273	1873-7579		WOS:000451938400010		
