PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Vakeel, Khadija Ali; Fuduric, Morana; Malthouse, Edward C.								Extending variety seeking to multi-sided platforms: Impact of new retailer listing								JOURNAL OF RETAILING AND CONSUMER SERVICES				59						102382	10.1016/j.jretconser.2020.102382				MAR 2021	2021										0	0	0	0	0	0	0			0969-6989	1873-1384		WOS:000608972000007		
J	Qin, Xuelian; Liu, Zhixue; Tian, Lin								The optimal combination between selling mode and logistics service strategy in an e-commerce market								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				289	2			639	651		10.1016/j.ejor.2020.07.029				MAR 1 2021	2021										0	0	0	0	0	0	0			0377-2217	1872-6860		WOS:000588034600017		
J	Bijmolt, Tammo H. A.; Broekhuis, Manda; de Leeuw, Sander; Hirche, Christian; Rooderkerk, Robert P.; Sousa, Rui; Zhu, Stuart X.				de Leeuw, Sander/F-3739-2012; Sousa, Rui/M-4605-2013	de Leeuw, Sander/0000-0003-3056-8775; Sousa, Rui/0000-0002-0049-1896			Challenges at the marketing-operations interface in omni-channel retail environments								JOURNAL OF BUSINESS RESEARCH				122				864	874		10.1016/j.jbusres.2019.11.034				JAN 2021	2021										3	0	0	0	0	0	3			0148-2963	1873-7978		WOS:000590682800029		
J	Wei, Jie; Wang, Yue; Lu, Jinghui								Information sharing and sales patterns choice in a supply chain with product's greening improvement								JOURNAL OF CLEANER PRODUCTION				278						123704	10.1016/j.jclepro.2020.123704				JAN 1 2021	2021										0	0	0	0	0	0	0			0959-6526	1879-1786		WOS:000592389800004		
J	Yenipazarli, Arda								The marketplace dilemma: Selling to the marketplace vs. selling on the marketplace								NAVAL RESEARCH LOGISTICS											10.1002/nav.21964		DEC 2020			2020										0	0	0	0	0	0	0			0894-069X	1520-6750		WOS:000597759300001		
J	Mikl, Jasmin; Herold, David M.; Cwiklicki, Marek; Kummer, Sebastian				Herold, David Martin/N-4218-2013	Herold, David Martin/0000-0002-4023-2282			The impact of digital logistics start-ups on incumbent firms: a business model perspective								INTERNATIONAL JOURNAL OF LOGISTICS MANAGEMENT											10.1108/IJLM-04-2020-0155		NOV 2020			2020										0	0	0	0	0	0	0			0957-4093	1758-6550		WOS:000592872900001		
J	Deng, Qiyuan; Fang, Xin; Lim, Yun Fong								Urban Consolidation Center or Peer-to-Peer Platform? The Solution to Urban Last-Mile Delivery								PRODUCTION AND OPERATIONS MANAGEMENT											10.1111/poms.13289		NOV 2020			2020										0	0	0	0	0	0	0			1059-1478	1937-5956		WOS:000588633800001		
J	Wang, Peng; Du, Rong; Wang, Hongpeng								Charging renters or not? One-side versus both-side brokerage model for online rental platforms								ELECTRONIC COMMERCE RESEARCH AND APPLICATIONS				44						101006	10.1016/j.elerap.2020.101006				NOV-DEC 2020	2020										0	0	0	0	0	0	0			1567-4223	1873-7846		WOS:000601308600005		
J	Gebauer, Heiko; Arzt, Alexander; Kohtamaki, Marko; Lamprecht, Claudio; Parida, Vinit; Witell, Lars; Wortmann, Felix								How to convert digital offerings into revenue enhancement - Conceptualizing business model dynamics through explorative case studies								INDUSTRIAL MARKETING MANAGEMENT				91				429	441		10.1016/j.indmarman.2020.10.006				NOV 2020	2020										0	0	0	0	0	0	0			0019-8501	1873-2062		WOS:000598667600003		
J	Ding, Ling; Liao, Xiuwu; Feng, Juan								SHOULD A SHARING PLATFORM INVEST IN SELF-FULFILLMENT PRODUCTS?								JOURNAL OF ELECTRONIC COMMERCE RESEARCH				21	4			215	236						NOV 2020	2020										0	0	0	0	0	0	0			1526-6133	1938-9027		WOS:000590336900001		
