PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Wei, Jie; Wang, Yue; Lu, Jinghui								Information sharing and sales patterns choice in a supply chain with product's greening improvement								JOURNAL OF CLEANER PRODUCTION				278						123704	10.1016/j.jclepro.2020.123704				JAN 1 2021	2021										0	0	0	0	0	0	0			0959-6526	1879-1786		WOS:000592389800004		
J	Wang, Peng; Du, Rong; Wang, Hongpeng								Charging renters or not? One-side versus both-side brokerage model for online rental platforms								ELECTRONIC COMMERCE RESEARCH AND APPLICATIONS				44						101006	10.1016/j.elerap.2020.101006				NOV-DEC 2020	2020										0	0	0	0	0	0	0			1567-4223	1873-7846		WOS:000601308600005		
J	Yang, Huixiao; Chen, Wenbo								Game modes and investment cost locations in radio-frequency identification (RFID) adoption								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				286	3			883	896		10.1016/j.ejor.2020.02.044				NOV 1 2020	2020										1	0	0	0	0	0	1			0377-2217	1872-6860		WOS:000538576200007		
J	He, Bo; Mirchandani, Prakash; Wang, Yong								Removing barriers for grocery stores: O2O platform and self-scheduling delivery capacity								TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW				141						102036	10.1016/j.tre.2020.102036				SEP 2020	2020										0	0	0	0	0	0	0			1366-5545			WOS:000571530000006		
J	Jia, Dongfeng; Li, Sijie								Optimal decisions and distribution channel choice of closed -loop supply chain when e -retailer offers online marketplace								JOURNAL OF CLEANER PRODUCTION				265						121767	10.1016/j.jclepro.2020.121767				AUG 20 2020	2020										4	0	0	0	0	0	4			0959-6526	1879-1786		WOS:000540487400020		
J	Wang, Xiaohuan; Tian, Jiaqi; Fan, Zhi-Ping								Optimal presale strategy considering consumers' preference reversal or inconsistency								COMPUTERS & INDUSTRIAL ENGINEERING				146						106581	10.1016/j.cie.2020.106581				AUG 2020	2020										0	0	0	0	0	0	0			0360-8352	1879-0550		WOS:000548931200028		
J	Chen, Pingping; Zhao, Ruiqing; Yan, Yingchen; Li, Xiang								Promotional pricing and online business model choice in the presence of retail competition								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				94						102085	10.1016/j.omega.2019.07.001				JUL 2020	2020										3	0	0	0	0	0	3			0305-0483	1873-5274		WOS:000528206400015		
J	Liu, Jinjin; Ke, Hua					Ke, Hua/0000-0001-7206-1994			Firms' pricing strategies under different decision sequences in dual-format online retailing								SOFT COMPUTING				24	10			7811	7826		10.1007/s00500-019-04399-0		OCT 2019		MAY 2020	2020										3	0	0	0	0	0	3			1432-7643	1433-7479		WOS:000488941000001		
J	Liu, Weihua; Yan, Xiaoyu; Li, Xiang; Wei, Wanying								The impacts of market size and data-driven marketing on the sales mode selection in an Internet platform based supply chain								TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW				136						101914	10.1016/j.tre.2020.101914				APR 2020	2020										3	0	0	0	0	0	3			1366-5545			WOS:000523602300021		
J	Wang, Tong-Yuan; Li, Yan-Lai; Yang, Hong-Tai; Chin, Kwai-Sang; Wang, Zeng-Qiang				Yang, Hongtai/AAZ-1699-2020; Wang, Tong-Yuan/ABI-7907-2020	Wang, Tong-Yuan/0000-0002-4800-7450; Yang, Hongtai/0000-0002-3608-1936			Information sharing strategies in a hybrid-format online retailing supply chain								INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH											10.1080/00207543.2020.1746851		MAR 2020			2020										0	0	0	0	0	0	0			0020-7543	1366-588X		WOS:000523668700001		
J	Liu, Jinjin; Ke, Hua								Firms' preferences for retailing formats considering one manufacturer's emission reduction investment								INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH											10.1080/00207543.2020.1745314		MAR 2020			2020										2	0	0	0	0	0	2			0020-7543	1366-588X		WOS:000524097000001		
J	Xue, Musen; Zhang, Jianxiong								Supply chain encroachment with quality decision and different power structures								RAIRO-OPERATIONS RESEARCH				54	3			693	718		10.1051/ro/2019027				MAR 10 2020	2020										0	0	0	0	0	0	0			0399-0559	1290-3868		WOS:000519740300002		
J	Zhen, Xueping; Xu, Shuangshuang; Shi, Dan; Liu, Fangjun								Pricing decisions and subsidy preference of government with traditional and green products								NANKAI BUSINESS REVIEW INTERNATIONAL				11	3			459	482		10.1108/NBRI-10-2019-0048		MAR 2020		MAR 2 2020	2020										0	0	0	0	0	0	0			2040-8749	2040-8757		WOS:000517311700001		
