PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Wei, Jie; Lu, Jinghui; Chen, Weiyu; Xu, Zeling					zeling, xu/0000-0002-0231-4092			Distribution Contract Analysis on e-Platform by Considering Channel Role and Good Complementarity								JOURNAL OF THEORETICAL AND APPLIED ELECTRONIC COMMERCE RESEARCH				16	3			445	465		10.3390/jtaer16030028				JUN 2021	2021										0	0	0	0	0	0	0			0718-1876			WOS:000601495900001		
J	Qin, Xuelian; Liu, Zhixue; Tian, Lin								The optimal combination between selling mode and logistics service strategy in an e-commerce market								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				289	2			639	651		10.1016/j.ejor.2020.07.029				MAR 1 2021	2021										0	0	0	0	0	0	0			0377-2217	1872-6860		WOS:000588034600017		
J	Pang, He; Zhang, Wukang								Decision support model of e-commerce strategic planning enhanced by machine learning								INFORMATION SYSTEMS AND E-BUSINESS MANAGEMENT											10.1007/s10257-021-00506-7		FEB 2021			2021										0	0	0	0	0	0	0			1617-9846	1617-9854		WOS:000613583600003		
J	Yan, Nina; Zhang, Yaping; Xu, Xun; Gao, Yongling								Online finance with dual channels and bidirectional free-riding effect?								INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS				231											JAN 2021	2021										0	0	0	0	0	0	0			0925-5273	1873-7579		WOS:000598125400012		
J	Yan, Nina; Zhang, Yaping; Xu, Xun; Gao, Yongling								Online finance with dual channels and bidirectional free-riding effect								INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS				231						107834	10.1016/j.ijpe.2020.107834				JAN 2021	2021										0	0	0	0	0	0	0			0925-5273	1873-7579		WOS:000598125400009		
J	Yenipazarli, Arda								The marketplace dilemma: Selling to the marketplace vs. selling on the marketplace								NAVAL RESEARCH LOGISTICS											10.1002/nav.21964		DEC 2020			2020										0	0	0	0	0	0	0			0894-069X	1520-6750		WOS:000597759300001		
J	Martins, Nuno; Brandao, Daniel; Alvelos, Heitor; Silva, Sara				Martins, Nuno/AAK-5656-2020	Martins, Nuno/0000-0002-5228-5453; Brandao, Daniel/0000-0001-6331-0354			E-Marketplace as a Tool for the Revitalization of Portuguese Craft Industry: The Design Process in the Development of an Online Platform								FUTURE INTERNET				12	11					195	10.3390/fi12110195				NOV 2020	2020										0	0	0	0	0	0	0				1999-5903		WOS:000593352200001		
J	Chen, Yutian; Xiong, Hui; Chen, Ying-Ju					Xiong, Hui/0000-0001-8395-718X			Should traditional retailers function as pre-warehouses of online retailers?								INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH											10.1080/00207543.2020.1825864		OCT 2020			2020										1	0	0	0	0	0	1			0020-7543	1366-588X		WOS:000575587600001		
J	Feng, Yixuan; Tan, Yinliang (Ricky); Duan, Yongrui; Bai, Yu								Strategies analysis of luxury fashion rental platform in sharing economy								TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW				142						102065	10.1016/j.tre.2020.102065				OCT 2020	2020										2	0	0	0	0	0	2			1366-5545			WOS:000579041500004		
J	Shen, Bin; Xu, Xiaoyan; Yuan, Quan								Selling secondhand products through an online platform with blockchain								TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW				142						102066	10.1016/j.tre.2020.102066				OCT 2020	2020										0	0	0	0	0	0	0			1366-5545			WOS:000579040400011	32905037	
